country_name,iso3,openness,order
Afghanistan,AFG,0.05670539726985444,0.15921787709497207
Albania,ALB,0.5637317230973208,0.5286312849162011
Algeria,DZA,0.1953925349094112,0.2122905027932961
Angola,AGO,0.343836196174621,0.30726256983240224
Argentina,ARG,0.5364987573580857,0.520949720670391
Armenia,ARM,0.7138563462058053,0.37011173184357543
Australia,AUS,0.8598488669323721,0.9706703910614525
Austria,AUT,0.6589086764733968,0.8296089385474861
Azerbaijan,AZE,0.2913816251978756,0.057960893854748605
Bahrain,BHR,0.4204425067326156,0.18854748603351956
Bangladesh,BGD,0.3389564304682089,0.36731843575419
Barbados,BRB,0.7491184621687189,0.8533519553072626
Belarus,BLR,0.2563529305318805,0.055865921787709494
Belgium,BEL,0.7633712793374096,0.7541899441340782
Benin,BEN,0.48837860592254817,0.5279329608938548
Bhutan,BTN,0.4350592962595218,0.7108938547486033
Bolivia,BOL,0.4623712884889916,0.3659217877094972
Bosnia and Herzegovina,BIH,0.5911192595386935,0.5391061452513967
Botswana,BWA,0.7821115217566548,0.6682960893854748
Brazil,BRA,0.6690513982655802,0.8575418994413408
Bulgaria,BGR,0.7014391694784546,0.5069832402234637
Burkina Faso,BFA,0.37430914262676146,0.388268156424581
Burma/Myanmar,MMR,0.1220740348271674,0.04748603351955307
Burundi,BDI,0.1704030228452273,0.09078212290502793
Cambodia,KHM,0.23310228429148067,0.08240223463687152
Cameroon,CMR,0.26557377320915176,0.2053072625698324
Canada,CAN,0.8959261506795555,0.8337988826815642
Cape Verde,CPV,0.6989560074358782,0.7262569832402235
Central African Republic,CAF,0.2571399171544757,0.15363128491620112
Chad,TCD,0.2772735855449118,0.07402234636871508
Chile,CHL,0.8052765834417903,0.8743016759776536
China,CHN,0.21815990475160296,0.13058659217877094
Colombia,COL,0.7410297744703718,0.6822625698324023
Comoros,COM,0.5880590324374182,0.22486033519553073
Costa Rica,CRI,0.7077382831526537,0.8924581005586593
Croatia,HRV,0.6397843483895145,0.6668994413407822
Cuba,CUB,0.011286865012342471,0.13268156424581007
Cyprus,CYP,0.7477329098401114,0.7332402234636871
Czechia,CZE,0.8076460841504648,0.907122905027933
Democratic Republic of the Congo,COD,0.1913550304074411,0.1564245810055866
Denmark,DNK,0.97091194143829,0.994413407821229
Djibouti,DJI,0.3733919770583589,0.3505586592178771
Dominican Republic,DOM,0.5999194149907298,0.57472067039106145
Ecuador,ECU,0.5149842647389561,0.3715083798882682
Egypt,EGY,0.19692712890117098,0.37639664804469275
El Salvador,SLV,0.5996330393762483,0.055865921787709494
Equatorial Guinea,GNQ,0.11211611165944993,0.046089385474860335
Eritrea,ERI,0.020794268232696464,0.07262569832402235
Estonia,EST,0.9131142891035227,0.9392458100558659
Eswatini,SWZ,0.31937673615337037,0.23184357541899442
Ethiopia,ETH,0.2542109379214528,0.2905027932960894
Fiji,FJI,0.6445144393596924,0.6375698324022346
Finland,FIN,0.8552119335569692,0.9574022346368715
France,FRA,0.7792128013092138,0.8784916201117319
Gabon,GAB,0.3967728699931718,0.4727653631284916
Georgia,GEO,0.5796438934405848,0.3743016759776536
Germany,DEU,0.7002973786404372,0.9175977653631284
Ghana,GHA,0.5824068949881798,0.7318435754189945
Greece,GRC,0.3721069433359936,0.6354748603351955
Guatemala,GTM,0.5158965365997419,0.755586592178771
Guinea,GIN,0.3324282828466107,0.1990223463687151
Guinea-Bissau,GNB,0.2383409151149235,0.24162011173184356
Guyana,GUY,0.5181858786637046,0.49022346368715086
Haiti,HTI,0.3490779773082278,0.24581005586592178
Honduras,HND,0.6158839817292429,0.6124301675977654
Hong Kong,HKG,0.11389177601662986,0.4755586592178771
Hungary,HUN,0.6100320589112005,0.41201117318435754
Iceland,ISL,0.7274070374007673,0.9168994413407822
India,IND,0.44150959282919366,0.5097765363128491
Indonesia,IDN,0.34899065311932226,0.3715083798882681
Iran,IRN,0.07239413885915612,0.21997206703910613
Iraq,IRQ,0.27049335176007083,0.29748603351955305
Ireland,IRL,0.9465335100040321,0.9406424581005587
Israel,ISR,0.5857400277756035,0.6976256983240223
